name,medicare_provider_number,address,city,county,state,zip_code,telephone,primary_contact,coo,cfo,cmo,cio,chr,cno,web_address,control,services,staffed_beds,personnel
CHRISTIAN HOSPITAL,260180,11133 Dunn Road,SAINT LOUIS,St. Louis County,MISSOURI,63136-6119,314/653-5000,"Rick Stevens, FACHE","Douglas Black, Vice President of Operations",,"Sebastian Rueckert, M.D.","Michael Kelly, Vice President","Bryan Hartwick, Vice President Human Resources","Jennifer Cordia, Vice President and Chief Nursing Executive",www.christianhospital.org,Other not-for-profit (including NFP Corporation),General medical and surgical,233,1492
HAWTHORN CHILDREN PSYCHIATRIC HOSPITAL,264028,1901  Pennsylvania,SAINT LOUIS,St. Louis County,MISSOURI,63133-1325,314/512-7800,"Michael McFarlane, Chief Executive Officer","Michael McFarlane, Chief Operating Officer","James D Martin, Chief Financial Officer","Joshua Calhoun, M.D.",,,"Melody Chilese, Chief Nurse Executive",www.dmh.missouri.gov/hcph/,,Children's hospital psychiatric,28,212
MERCY HOSPITAL SOUTH,260077,10010 Kennerly Road,SAINT LOUIS,St. Louis County,MISSOURI,63128-2106,314/525-1000,"Sean Hogan, FACHE",,,,,,,www.stanthonysmedcenter.com,Other not-for-profit (including NFP Corporation),General medical and surgical,516,2784
ST. LOUIS CHILDREN'S HOSPITAL,263301,1 Children's Place,SAINT LOUIS,St. Louis City County,MISSOURI,63110-1002,314/454-6000,"Trisha Lollo, President",,"Michele McKee, Vice President and Chief Financial Officer",,,,"Peggy Gordin, Vice President",www.stlouischildrens.org,Other not-for-profit (including NFP Corporation),Children's general medical and surgical,358,3955
ST. LOUIS FORENSIC TREATMENT CENTER,264010,5300 Arsenal Street,SAINT LOUIS,St. Louis City County,MISSOURI,63139-1463,314/877-6501,"Kathryn Thumann, Chief Executive Officer",,"James D Martin, Chief Financial Officer","Roy Wilson, M.D.",,"Michael McFarlane, Chief Human Resource Officer","Deborah Mokry, Chief Nurse Executive",www.dmh.missouri.gov,,Psychiatric,255,719
ST. LOUIS FORENSIC TREATMENT CENTER,264025,5300 Arsenal  Street,SAINT LOUIS,St. Louis City County,MISSOURI,63139-1463,314/877-0501,"Kathryn Thumann, Chief Executive Officer","Michael Bruce Anderson, Ph.D.","James D Martin, Chief Financial Officer","Davinder Hayreh, M.D.",,"Michael McFarlane, Director Human Resources","Sarah Jones, Chief Nurse Executive",www.dmh.missouri.gov/mpc,,Psychiatric,50,
THE REHABILITATION INSTITUTE OF ST. LOUIS,263028,4455 Duncan  Avenue,SAINT LOUIS,St. Louis City County,MISSOURI,63110-1111,314/658-3800,"Jeffrey Reese, Chief Executive Officer",,,"David Carr, M.D.",,"Heather Savage, Director Human Resources","Angelina Sherman, R.N.",www.rehabinstitutestl.com,"Partnership, Investor-owned (for-profit)",Rehabilitation,176,328
VA ST. LOUIS HEALTH CARE SYSTEM,,915 North Grand Boulevard,SAINT LOUIS,St. Louis City County,MISSOURI,63106-1621,314/652-4100,"Candace Ifabiyi, FACHE",,"Karen Westerheide, Chief Financial Officer",,"Steve Warmbold, Director Information Management Service Line","Marie Lewis, Human Resources Liaison","Richard Holt, R.N.",www.stlouis.va.gov/,"Veterans Affairs, Government, federal",General medical and surgical,240,
BARNES–JEWISH ST. PETERS HOSPITAL,260191,10 Hospital Drive,SAINT PETERS,St. Charles County,MISSOURI,63376-1659,636/916-9000,"Gregory Patterson, President",,"Glen Schwaegel, Vice President and Chief Financial Officer",Feliipe Orellana,"Cindy Gross, Director of Finance","Michael J Miller, Director Human Resources","Lauren Beckmann, Vice President Patient Services and Chief Nursing Officer",www.bjsph.org/,Other not-for-profit (including NFP Corporation),General medical and surgical,104,638
SALEM MEMORIAL DISTRICT HOSPITAL,261318,35629 Highway  72,SALEM,Dent County,MISSOURI,65560-7217,573/729-6626,"Brooke Bollman, Chief Executive Officer",,"Kayla Chamberlain, Chief Financial Officer","John Demorlis, M.D.",,"Jodie Gorman, Director Human Resources","Ashley Sullins, Chief Nursing Officer",www.smdh.net,"Hospital district or authority, Government, Nonfederal",General medical and surgical,43,94
BOTHWELL REGIONAL HEALTH CENTER,260009,601 East 14th  Street,SEDALIA,Pettis County,MISSOURI,65301-5972,660/826-8833,"Lori Wightman, R.N.","Marvin Smoot, Vice President of Clinic Operations",,"Philip Fracica, M.D.","Tom Fairfax, Director Information Systems","Deb Clemmer, Vice President Human Resources","Michele Laas, R.N.",www.brhc.org,"City, Government, Nonfederal",General medical and surgical,74,728
MISSOURI DELTA MEDICAL CENTER,260113,1008 North Main Street,SIKESTON,Scott County,MISSOURI,63801-5044,573/471-1600,"Jason Schrumpf, FACHE",,"Greg Carda, Vice President Finance",,,,,www.missouridelta.com,Other not-for-profit (including NFP Corporation),General medical and surgical,97,937
MERCY HOSPITAL ST. LOUIS,260020,615 South New Ballas Road,SAINT LOUIS,St. Louis County,MISSOURI,63141-8277,314/251-6000,"David Meiners, President",,"Cheryl Matejka, Chief Financial Officer","Paul Hintze, M.D.","Eugene Roth, Vice President Information Services","Rocky Ruello, Vice President Human Resources",,www.mercy.net/stlouismo,Other not-for-profit (including NFP Corporation),General medical and surgical,795,5515
MERCY REHABILITATION HOSPITAL SOUTH,263034,10114 Kennerly Road,SAINT LOUIS,St. Louis County,MISSOURI,63128-2183,314/948-2000,"Daniel Vogel Jr, Chief Executive Officer",,"Ryan Friley, CPA","Jennifer Page, M.D.",,"Brooke Doherty, Director","Rhonda Morse, Chief Nursing Officer",https://www.mercy.net/practice/mercy-rehabilitation-hospital-south/,"Partnership, Investor-owned (for-profit)",Rehabilitation,50,244
MISSOURI BAPTIST MEDICAL CENTER,260108,3015 North Ballas Road,SAINT LOUIS,St. Louis County,MISSOURI,63131-2329,314/996-5000,"Ann Abad, President MO","Michael Kelly, Vice President Operations","Amy Desart, Vice President","Mitchell Botney, M.D.","Tracie Jones, Director Information Services","Cyndy Donato, Vice President","Pamela Brouder, Associate Chief Nursing Officer",www.missouribaptist.org,Other not-for-profit (including NFP Corporation),General medical and surgical,355,2377
SHRINERS HOSPITALS FOR CHILDREN–ST. LOUIS,263304,4400 Clayton  Avenue,SAINT LOUIS,St. Louis County,MISSOURI,63110-1624,314/432-3600,"Mark Venable, Administrator",,"Sandra K. Lawson, Interim Director Fiscal Services","Perry L Schoenecker, M.D.","Jeanne Hall, Director Information Systems","Mark Venable, Director Human Resources",,https://www.shrinershospitalsforchildren.org,Other not-for-profit (including NFP Corporation),Children's orthopedic,12,122
SSM HEALTH ST. MARY'S HOSPITAL – ST. LOUIS,260091,6420 Clayton  Road,SAINT LOUIS,St. Louis County,MISSOURI,63117-1811,314/768-8000,"Kim Henrichsen, R.N.",,"Karen Rewerts, System Vice President of Finance","Stephen Kelly, M.D.","Michael Paasch, Regional Chief Information Officer",,,https://www.ssmhealth.com/locations/st-marys-hospital-st-louis,"Church operated, Nongovernment, not-for-profit",General medical and surgical,387,1178
PERIMETER BEHAVIORAL HOSPITAL OF SPRINGFIELD,264033,2828  North National Avenue,SPRINGFIELD,Greene County,MISSOURI,65803-4306,417/799-7474,"Alyssa Ingle, Chief Executive Officer",,,,,,,https://www.perimeterhealthcare.com/springfield,"Corporation, Investor-owned (for-profit)",Psychiatric,32,
SELECT SPECIALTY HOSPITAL–SPRINGFIELD,262017,1630 East Primrose  Street,SPRINGFIELD,Greene County,MISSOURI,65804-7929,417/885-4700,"Elizabeth Hallam, R.N.",,,,,"Tonya Eddington, Coordinator Human Resources",,www.selectspecialtyhospitals.com/company/locations/springfield.,"Corporation, Investor-owned (for-profit)",Acute long-term care hospital,44,160
STE. GENEVIEVE COUNTY MEMORIAL HOSPITAL,261330,800 Ste  Genevieve Drive,STE GENEVIEVE,Ste. Genevieve County,MISSOURI,63670-1434,573/883-2751,"Steve Henson, Chief Executive Officer",,"Susan Eckenfels, Chief Financial Officer","Joseph Sharlow, M.D.",,"Sarah Hi Kelley, Executive Director of Human Resources and Support Services","Jennifer McBride-Hobbs, Chief Nursing Officer",www.stegenevievehospital.org,"County, Government, Nonfederal",General medical and surgical,25,
MISSOURI BAPTIST SULLIVAN HOSPITAL,261337,751 Sappington Bridge  Road,SULLIVAN,Crawford County,MISSOURI,63080-2354,573/468-4186,"Lisa Lochner, President",,"Angela Wilks, Finance Director","Alison Baker, M.D.",,"Kathleen Reed, Manager Human Resources","Carmen J. Bartolotta, R.N.",www.missouribaptistsullivan.org,Other not-for-profit (including NFP Corporation),General medical and surgical,34,424
WRIGHT MEMORIAL HOSPITAL,261309,191 Iowa Boulevard,TRENTON,Grundy County,MISSOURI,64683-8343,660/358-5700,"Catherine Hamilton, MSN",,"Leslie Reed, Chief Financial Officer","Gerald C Zabielski, M.D.",,"Jenny Donovan, Director Human Resources",,www.saintlukeshealthsystem.org,Other not-for-profit (including NFP Corporation),General medical and surgical,10,165
COX NORTH HOSPITAL,260040,1423 North Jefferson Street,SPRINGFIELD,Greene County,MISSOURI,65802-1988,417/269-3000,"Ashley Kimberling-Casad, President of Springfield Hospitals",,"Jacob McWay, Senior Vice President and Chief Financial Officer","Frank Romero, M.D.",,"John Hursh, Vice President Human Resources",,www.coxhealth.com,Other not-for-profit (including NFP Corporation),General medical and surgical,723,10887
LAKELAND BEHAVIORAL HEALTH SYSTEM,264024,440 South Market  Street,SPRINGFIELD,Greene County,MISSOURI,65806-2026,417/865-5581,"Nathan Duncan, Chief Executive Officer","Randy Fox, Director Performance Improvement and Risk Management","Rick Crump, Chief Financial Officer","Richard Aiken, M.D.","Brad Strothkamp, Chief Information Systems","Dave England, Director Human Resources",,https://www.lakelandbehavioralhealth.com/,"Corporation, Investor-owned (for-profit)",Psychiatric,100,375
MERCY HOSPITAL SPRINGFIELD,260065,1235 East Cherokee Street,SPRINGFIELD,Greene County,MISSOURI,65804-2263,417/820-2000,"John Myers, President","Taylor Warwick, Chief Operating Officer","Scott Reynolds, Vice President Finance","Sadaf Sohrab, M.D.","Lori Sturgill, Vice President Business Partnership","Tanya Maricn, Interim Vice President Human Resources",,www.mercy.net/springfieldmo,"Church operated, Nongovernment, not-for-profit",General medical and surgical,651,5038
MERCY REHABILITATION HOSPITAL SPRINGFIELD,263032,5904  u	 n South Southwood Road,SPRINGFIELD,Greene County,MISSOURI,65804-5234,417/227-9000,"Brent Yates, Chief Executive Officer",,"Melissa Campbell, Chief Financial Officer and Controller","Hollis Bell, M.D.",,"Melissa Mooney, Director Human Resources","Paul Moore, R.N.",www.mercy.net,"Partnership, Investor-owned (for-profit)",Rehabilitation,60,152
OZARKS HEALTHCARE,260078,1100 Kentucky Avenue,WEST PLAINS,Howell County,MISSOURI,65775-2029,417/256-9111,"Terence Farrell, Chief Executive Officer","Lacey Carter, MSN","Nichole Cook, Chief Financial Officer",,"EZ Niles, Executive Director of Information Technology","Connie Schott, Vice President",,https://www.ozarkshealthcare.com/,Other not-for-profit (including NFP Corporation),General medical and surgical,103,1135
ROYAL OAKS HOSPITAL,264020,307 North Main,WINDSOR,Henry County,MISSOURI,65360-1449,660/647-2182,"Alan W. Greiman, Chief Executive Officer and President",,"Jake Matthew Krafve, Chief Financial Officer","Syed Arshad Husain, M.D.","Richard Colvert, Chief Information Officer","Diane Coletta, Vice President Human Resources","Saundra Overton, R.N.",www.compasshealthnetwork.org,Other not-for-profit (including NFP Corporation),Psychiatric,54,252
MERCY HOSPITAL LINCOLN,261319,1000 East Cherry Street,TROY,Lincoln County,MISSOURI,63379-1513,636/528-8551,"Alan Smith, Administrator",,"Mark Thorn, FACHE",,"Travis Boyd, Manager","Mary Kay Kunza, Manager Human Resources",,www.mercy.net,Other not-for-profit (including NFP Corporation),General medical and surgical,18,282
PUTNAM COUNTY MEMORIAL HOSPITAL,261305,1926 Oak Street,UNIONVILLE,Putnam County,MISSOURI,63565-1180,660/947-2411,"Arlene G. Pickens, Chief Executive Officer","Jerry Cummings, Chief Operating Officer",,"Dawn Ann Fairley, M.D.",,"Debbie Douglas, Director Human Resources","Nathan Baughman, Chief Nursing Officer",www.pcmhosp.com,"County, Government, Nonfederal",General medical and surgical,15,94
WESTERN MISSOURI MEDICAL CENTER,260097,403 Burkarth Road,WARRENSBURG,Johnson County,MISSOURI,64093-3101,660/747-2500,"Darinda Dick, MSN",,"Dean Ohmart, Vice President Financial Services and Chief Financial Officer MO",,"Bill Ladd, Director Information Services","Dennis Long, Director Human Resources",,www.wmmc.com,"County, Government, Nonfederal",General medical and surgical,45,677
MERCY HOSPITAL WASHINGTON,260052,901 East Fifth Street,WASHINGTON,Franklin County,MISSOURI,63090-3127,636/239-8000,"Marie Moore, President",,"Cheryl Matejka, Chief Financial Officer","Thomas Riechers, M.D.","Michael McCreary, Chief of Services","Barbara Grayson, Vice President Human Resources","Anna Landon, Chief Nursing Officer",www.mercy.net,Other not-for-profit (including NFP Corporation),General medical and surgical,97,1070
COMMUNITY HOSPITAL OF ANACONDA,271335,401 West Pennsylvania  Street,ANACONDA,Deer Lodge County,MONTANA,59711,406/563-8500,"Meg Hickey-Boynton, Chief Executive Officer",,,"Freddy Bartoletti, M.D.",,,"Jamie Johnson, R.N.",www.communityhospitalofanaconda.org,Other not-for-profit (including NFP Corporation),General medical and surgical,57,352
FALLON MEDICAL COMPLEX,271301,202 South 4th Street West,BAKER,Fallon County,MONTANA,59313-9156,406/778-3331,"David Espeland, Chief Executive Officer",,"Selena Nelson, Chief Financial Officer",Darryl Espeland,"Susan Stevens, Information Technology Specialist","Theresa Myers, Personnel Director","Susan Lunde, R.N.",www.fallonmedical.org,Other not-for-profit (including NFP Corporation),General medical and surgical,25,68
BIG SANDY MEDICAL CENTER,271311,166 Montana Avenue East,BIG SANDY,Chouteau County,MONTANA,59520-8474,406/378-2188,"Ron Wiens, Chief Executive Officer",,"Nora Grubb, Chief Financial Officer",,,,,www.bsmc.org,Other not-for-profit (including NFP Corporation),General medical and surgical,25,57
BOZEMAN HEALTH BIG SKY MEDICAL CENTER,271389,"334 Town  Center Avenue, Suite 161529",BIG SKY,Gallatin County,MONTANA,59716,406/995-6995,"Kelly Reynolds, Interim Administrator",,,,"Vasanth Balu, Chief Informational Officer",,,https://www.bigskymedicalcenter.org/,Other not-for-profit (including NFP Corporation),General medical and surgical,8,97
PIONEER MEDICAL CENTER,271313,301 West Seventh Avenue,BIG TIMBER,Sweet Grass County,MONTANA,59011-7893,406/932-4603,"Ian Peterson, Chief Executive Officer",,"Kyle Gee, Chief Financial Officer","Benjamin P Bullington, M.D.",,"Miki Gregorich, Director Human Resources","Randi Pike, Director of Nursing",www.pmcmt.org/,Other not-for-profit (including NFP Corporation),General medical and surgical,25,78
ADVANCED CARE HOSPITAL OF MONTANA,272001,3528 Gabel Road,BILLINGS,Yellowstone County,MONTANA,59102-7307,406/373-8000,"Aubrey Peterschick, Chief Executive Officer",,,,,,,www.achm.ernesthealth.com,"Corporation, Investor-owned (for-profit)",Acute long-term care hospital,40,
BILLINGS CLINIC,270004,2800 10th Avenue North,BILLINGS,Yellowstone County,MONTANA,59107,406/657-4000,"Clint Seger, M.D.","Greg Titensor, MSN","Patti Pilgrim, System Chief Financial Officer","Michelle Pierson, M.D.","Brian Jones, Chief Information Officer","Gerele Dawn Pelton, Interim Chief Human Resources Officer MT",,www.billingsclinic.com,Other not-for-profit (including NFP Corporation),General medical and surgical,322,4514
INTERMOUNTAIN HEALTH ST. VINCENT REGIONAL HOSPITAL,270049,1233 North 30th Street,BILLINGS,Yellowstone County,MONTANA,59101-0165,406/237-7000,"Lee Boyles, President",,"Pam Palagi, Regional Vice President",,"Al Rooney, Director Information Systems","James Ritchey, Montana Region","BJ Gilmore, Chief Nursing Officer",https://www.sclhealth.org/locations/st-vincent-healthcare/,Other not-for-profit (including NFP Corporation),General medical and surgical,277,1481
THE REHABILITATION HOSPITAL OF MONTANA,273025,3572 Hesper  Road,BILLINGS,Yellowstone County,MONTANA,59102-6891,406/413-6200,"Belle Widgeon, Chief Executive Officer",,,,,,,https://www.rehabhospitalofmontana.com/,"Partnership, Investor-owned (for-profit)",Rehabilitation,34,
BOZEMAN HEALTH DEACONESS REGIONAL MEDICAL CENTER,270057,915 Highland Boulevard,BOZEMAN,Gallatin County,MONTANA,59715-6902,406/585-5000,"Kathryn Bertany, M.D.","Kallie Kujawa, Chief Operating Officer","Brad Ludford, Chief Financial Officer",,"Tamara Havenhill-Jacobs, Chief Information Officer",,"Kiera Pattison, R.N.",www.bozemandeaconess.org,Other not-for-profit (including NFP Corporation),General medical and surgical,139,1715
INTERMOUNTAIN HEALTH ST. JAMES HOSPITAL,270017,400 South Clark  Street,BUTTE,Silver Bow County,MONTANA,59701-2328,406/723-2500,"Karen Costello, Chief Executive Officer",,"David Brain, Interim Vice President Finance","Dennis Salisbury, M.D.",,,"Mary Winters, Interim Chief Nursing Officer",https://www.sclhealth.org/locations/st-james-healthcare/,Other not-for-profit (including NFP Corporation),General medical and surgical,73,459
LOGAN HEALTH CHESTER,271334,315 West Madison Avenue,CHESTER,Liberty County,MONTANA,59522,406/759-5181,"Cherie Taylor, President",,,"Gladys Young, M.D.",,"Bev Halter, Director Human Resources and Payroll","Shirley Morkrid, Chief Nursing Officer",https://www.logan.org/health/locations/logan-health-chester,Other not-for-profit (including NFP Corporation),General medical and surgical,25,68
BENEFIS TETON MEDICAL CENTER,271307,915 4th Street North West,CHOTEAU,Teton County,MONTANA,59422-9123,406/466-5763,"Mark Burzynski, Chief Executive Officer",,,,,,,www.tetonmedicalcenter.net,Other not-for-profit (including NFP Corporation),General medical and surgical,25,52
MCCONE COUNTY HEALTH CENTER,271305,605 Sullivan Avenue,CIRCLE,McCone County,MONTANA,59215,406/485-3381,"Jacque Gardner, Chief Executive Officer",,,,,,,www.mcconehealth.org/,"County, Government, Nonfederal",General medical and surgical,25,
STILLWATER BILLINGS CLINIC,271330,44 West Fourth Avenue  North,COLUMBUS,Stillwater County,MONTANA,59019-0959,406/322-5316,"Luke Kobold, Chief Executive Officer",,,,,,,www.billingsclinic.com,Other not-for-profit (including NFP Corporation),General medical and surgical,16,81
LOGAN HEALTH – CONRAD,271324,805 Sunset Boulevard,CONRAD,Pondera County,MONTANA,59425-1717,406/271-3211,"Vicki Newmiller, President",,"Brigid Burke, Chief Financial Officer","Jay Taylor, M.D.","Sean Kavanagh, Director Information Technology","Patrick Johnson, Director Human Resources","Laura Erickson, R.N.",https://www.logan.org/logan-health-conrad/,Other not-for-profit (including NFP Corporation),General medical and surgical,79,71
CROW/NORTHERN CHEYENNE HOSPITAL,271339,10110 South  7650 East,CROW AGENCY,Big Horn County,MONTANA,59022-0009,406/638-2626,"Darren Crowe, Chief Executive Officer",,,"Jim Upchurch, M.D.","Melanie Falls Down, Site Manager",,,https://www.ihs.gov/billings/healthcarefacilities/crow/,,General medical and surgical,24,
ROOSEVELT MEDICAL CENTER,271308,818 Second Avenue East,CULBERTSON,Roosevelt County,MONTANA,59218,406/787-6401,"Jamason Schmidt, Chief Executive Officer",,"Jennifer Kessner, Financial Director","Don Helland, M.D.","Brian Fordyce, Director Information Technology","Elizabeth Raaum, Manger Business Office","Jessica Schmitz, Director of Nursing",www.roosmem.org,Other not-for-profit (including NFP Corporation),General medical and surgical,29,56
ROSEBUD HEALTH CARE CENTER,271327,383 North 17th Avenue,FORSYTH,Rosebud County,MONTANA,59327-0268,406/346-2161,"Mindy Price, R.N.",,,William Anderson,,"Dee Raymond, Director Human Resources","Jeanne Maciag, Director of Nursing",www.rosebudhealthcare.com/,Other not-for-profit (including NFP Corporation),General medical and surgical,55,
BENEFIS MISSOURI RIVER MEDICAL CENTER,271304,1501 St Charles  Street,FORT BENTON,Chouteau County,MONTANA,59442-0249,406/622-3331,"Bubba Bartlett, Chief Executive Officer",,,"Jace Bird, M.D.","Bryan Cartwright, Chief Information Technology Officer","Carolyn Johnsrud, Manager Human Resources","Janice Woodhouse, Director of Nursing",www.mrmcfb.org,Other not-for-profit (including NFP Corporation),General medical and surgical,25,65
FORT HARRISON VA MEDICAL CENTER,,3687 Veterans Drive,FORT HARRISON,Lewis And Clark County,MONTANA,59636-9703,406/442-6410,"Duane B. Gill, Acting Director",,"Brian Gustafson, Chief Financial Officer","Kurt Werner, M.D.","Paul Gauthier, Chief Information Resources Management","Aggie Hamilton, Chief Human Resources",,www.montana.va.gov/,"Veterans Affairs, Government, federal",General medical and MT surgical,47,
FRANCES MAHON DEACONESS HOSPITAL,271316,621 Third Street South,GLASGOW,Valley County,MONTANA,59230-2699,406/228-3500,"Nick Dirkes, Chief Executive Officer","Ellen Guttenberg, Chief Operating Officer","Cami Kalinski, Chief Financial Officer","Kevin Ross, M.D.","David L Nixdorf, Director Support Services","Ben Thoeny, Director Human Resources","Brenda Koessl, R.N.",www.fmdh.org,Other not-for-profit (including NFP Corporation),General medical and surgical,25,184
LOGAN HEALTH – CUT BANK,271337,802 Second Street SE,CUT BANK,Glacier County,MONTANA,59427-3329,406/873-2251,"Cherie Taylor, President",,"Treasure Berkram, Chief Financial Officer","Robert Clary, M.D.",,"Ashley Kimmet, Human Resources","Crystal Losing, Chief Nursing Officer",https://www.logan.org/health/locations/logan-health-cut-bank,Other not-for-profit (including NFP Corporation),General medical and surgical,20,80
DEER LODGE MEDICAL CENTER,271314,1100 Hollenbeck Lane,DEER LODGE,Powell County,MONTANA,59722-2317,406/846-2212,"Jaena Richards, Chief Executive Officer",,,"Michelle Corbin, M.D.","Chris Foster, Director Health Information Management",,,www.dlmed.org/,Other not-for-profit (including NFP Corporation),General medical and surgical,16,123
BARRETT HOSPITAL & HEALTHCARE,271318,600 Mt Highway 91 South,DILLON,Beaverhead County,MONTANA,59725-7379,406/683-3000,"Taylor Rose, Chief Executive Officer",,"Dick Achter, Chief Financial Officer",Carol Kennedy,"Dick Achter, Chief Financial Officer","Geoff Roach, Director Human Resources",,www.barretthospital.org,Other not-for-profit (including NFP Corporation),General medical and surgical,18,217
DAHL MEMORIAL HEALTHCARE ASSOCIATION,271302,215 Sandy Street,EKALAKA,Carter County,MONTANA,59324,406/775-8730,"Darrell Messersmith, Chief Executive Officer",,,Darryl Espeland,"Davie Ann Barrere, Coordinator Information Technology","Melissa Matthews, Director Human Resources","Patricia Rogers, Director of Nursing",www.dahlmemorial.com,Other not-for-profit (including NFP Corporation),General medical and surgical,25,
MADISON VALLEY MEDICAL CENTER,271329,305 North Main Street,ENNIS,Madison County,MONTANA,59729-8001,406/682-4222,"Allen Rohrback, Chief Executive Officer",,,"Cindy Sharp, M.D.","Bo Nix, Chief Information Officer",,,www.mvmedcenter.org,Other not-for-profit (including NFP Corporation),General medical and surgical,10,
BIG HORN HOSPITAL,271338,17 North Miles Avenue,HARDIN,Big Horn County,MONTANA,59034-2323,406/665-2310,"Kristi Gatrell, Chief Executive Officer",,"Roxie Cain, Chief Financial Officer",,,,"Kirsten Willoughby, Director of Nursing",,Other not-for-profit (including NFP Corporation),General medical and surgical,18,109
FORT BELKNAP SERVICE UNIT,271315,669 Agency Main Street,HARLEM,Blaine County,MONTANA,59526-9455,406/353-3100,"Lieutenant Commander Matthew Frye, Acting Chies Executive Officer",,,"Ethel L Moore, M.D.","Mikki Grant, Chief Information Officer","Charlotte Lamebull, Administrative Officer","Diana Hunter, Director of Nursing",www.ihs.gov,,General medical and surgical,6,
WHEATLAND MEMORIAL HEALTHCARE,271321,530 Third Street  North West,HARLOWTON,Wheatland County,MONTANA,59036,406/632-4351,"Donna Neste, Chief Executive Officer",,"Doug Lewis, Chief Financial Officer","Kathy Jutila, M.D.","Ray Hetherington, Network Administrator","Peggy Hiner, Director Human Resources","Lauri Ann Cooney, Director Nursing",www.wheatlandmemorial.org,Other not-for-profit (including NFP Corporation),General medical and surgical,18,47
NORTHERN MONTANA HOSPITAL,271348,30 13th Street,HAVRE,Hill County,MONTANA,59501-5222,406/265-2211,"Kevin Harada, President and Chief Executive Officer",,"Kim Lucke, Vice President Finance",,,,"Eric Koch, Chief Nursing Officer",www.nmhcare.org,Other not-for-profit (including NFP Corporation),General medical and surgical,140,480
SHODAIR CHILDREN'S HOSPITAL,274004,2755 Colonial Drive,HELENA,Lewis And Clark County,MONTANA,59601-4926,406/444-7500,"Craig E. Aasved, Chief Executive Officer",,,"Heather Zaluski, M.D.","Judy Jackson, Director Health Information Management and Privacy Officer",,"Christine Bates, Chief Nursing Officer",www.shodair.org,Other not-for-profit (including NFP Corporation),Children's hospital psychiatric,82,283
GLENDIVE MEDICAL CENTER,271332,202 Prospect Drive,GLENDIVE,Dawson County,MONTANA,59330-1999,406/345-3306,"Parker Powell, Chief Executive Officer",,"Barbara Markham, Chief Financial Officer","Joseph M Leal, M.D.","Barbara Markham, Chief Financial Officer","Joetta J Pearcy, Director",,www.gmc.org,Other not-for-profit (including NFP Corporation),General medical and surgical,61,337
BENEFIS EAST CAMPUS,270012,1101 26th Street South,GREAT FALLS,Cascade County,MONTANA,59405-5104,406/455-5000,"John H. Goodnow, Chief Executive Officer",,"Forrest Ehlinger, System Chief Financial Officer","Gregory Tierney, M.D.","Mark Simon, System Chief Information Officer",,"Rayn Ginnaty, Vice President Nursing",https://www.benefis.org/locations/profile/benefis-east-campus/,Other not-for-profit (including NFP Corporation),General medical and surgical,529,3483
GREAT FALLS CLINIC HOSPITAL,270086,3010 15th Avenue South,GREAT FALLS,Cascade County,MONTANA,59405-5240,406/216-8000,"Mark Robinson, FACHE",,"Paul Hanson, Chief Financial Officer","David Kluge, M.D.",,"Sally Callery, Director Human Resources","Rachel Pahut, Chief Nursing Officer",www.gfclinic.com/location/great-falls-clinic-hospital/,"Corporation, Investor-owned (for-profit)",General medical and surgical,46,751
BITTERROOT HEALTH – DALY HOSPITAL,271340,1200 Westwood Drive,HAMILTON,Ravalli County,MONTANA,59840-2345,406/363-2211,"John Bishop, Chief Executive Officer","Troy Hanson, Chief Operating Officer","Trevor Lewis, Chief Financial Officer","April Weinberger, M.D.","Robert Weissenbach, Chief Information Officer","Rebecca Conroy Bargfrede, Chief Transformational Officer","Kathy Padilla, Chief Nursing Officer",https://www.bitterroothealth.org/about-us/who-we-are/,Other not-for-profit (including NFP Corporation),General medical and surgical,25,761
CABINET PEAKS MEDICAL CENTER,271320,209 Health Park Drive,LIBBY,Lincoln County,MONTANA,59923-2130,406/283-7000,"Tadd S. Greenfield, Chief Executive Officer",,,"Jay Maloney, M.D.",,,,https://www.cabinetpeaks.org/,Other not-for-profit (including NFP Corporation),General medical and surgical,25,284
LIVINGSTON HEALTHCARE,271317,320 Alpenglow Lane,LIVINGSTON,Park County,MONTANA,59047-8506,406/222-3541,"Bruce Whitfield, CPA",,"Kris Kester, Chief Financial Officer","D. Scott Coleman, M.D.","Jody Duran, Manager Information Systems","Vicki Axtell, Director Human Resources","Dave Noble, Director of Nursing",www.livingstonhealthcare.org,Other not-for-profit (including NFP Corporation),General medical and surgical,25,
PHILLIPS COUNTY HOSPITAL,271312,311 South 8th Avenue East,MALTA,Phillips County,MONTANA,59538-0640,406/654-1100,"Jo Tharp, Interim Chief Executive Officer",,"Stephanie Denham, Chief Financial Officer and Human Resources Officer","Ed Medina, M.D.",,"Stephanie Denham, Chief Financial Officer and Human Resources Officer","Lonna Crowder, Director of Nursing",www.pchospital.us/,Other not-for-profit (including NFP Corporation),General medical and surgical,6,30
INTERMOUNTAIN HEALTH HOLY ROSARY HEALTHCARE,271347,2600  Wilson Street,MILES CITY,Custer County,MONTANA,59301-5094,406/233-2600,"Benjamin Uhlich, President and Chief Nursing Officer",,"Travis Scheving, Chief Financial Officer",,,"Cathy Rodenbaugh, Director Human Resources","Lisa Sanford, VP Patient Care/CNO",https://intermountainhealthcare.org/locations/intermountain-health-,Other not-for-profit (including NFP Corporation),General medical and surgical,89,211
